concept,photo,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,textbox.started,textbox.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,input.keys,input.rt,input.started,input.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
bear,bear1.jpg,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.67782543809153,None,space,0.44068487198092043,50.159861559048295,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
turtle,turtle3.jpg,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.64322904101573,None,space,0.45961992000229657,51.12571807310451,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
pineapple,pineapple1.jpg,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.626490505062975,None,space,0.43333473103120923,52.10912355501205,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
lion,lion1.jpg,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.59471953706816,None,space,0.44027635001111776,53.07535237004049,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
phone,phone1.jpg,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5609402700793,None,space,0.5386843959568068,54.041933797998354,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
chairs,chairs2.jpg,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.62530894007068,None,space,0.3974242190597579,55.10894815006759,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
mouse,mouse2.jpg,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.54251809208654,None,space,0.5158082620473579,56.0252924640663,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
book,book1.jpg,,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.57534125901293,None,space,0.4446449469542131,57.05854523205198,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
bench,bench1.jpg,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.54339850903489,None,space,0.5049295231001452,58.025451597059146,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
cat,cat1.jpg,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.57491253002081,None,space,0.47386610694229603,59.05860492109787,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
camel,camel1.jpg,,,,,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.57502871705219,None,space,0.448249327018857,60.05794401699677,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
pie,pie1.jpg,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.54750754300039,None,space,0.3953407380031422,61.04186641308479,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
alligator,alligator1.jpg,,,,,0,13,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.47519845305942,None,space,0.49237455998081714,61.958829259034246,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
horse,horse2.jpg,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.49205342901405,None,space,0.5999223990365863,62.97513399505988,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
bike,bike3.jpg,,,,,0,15,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.61076553410385,None,space,0.4691524039953947,64.09889257408213,None,,,,,,,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5940498720156,None,space,0.16490891994908452,66.57480911002494,None,,,,,,,,,,,,,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type your answers here,66.79188724409323,None,66.87689073907677,None,1,[19.69048869004473],[19.690496623981744],right,13.910210094996728,66.79188724409323,None,,,2021_Mar_04_1653,df_e1,2021.1.2,59.7843329259203,
